"age","rel_status","gender","gender_3_TEXT","sex","transgender","transgender_4_TEXT","sexual_attraction","sexual_attraction_4_TEXT","romantic_attraction","romantic_attraction_4_TEXT","attn_check","sex_orient_best","sex_orient_best_9_TEXT","sex_orient_multi","sex_orient_multi_9_TEXT","romantic_orient_best","romantic_orient_best_7_TEXT","rom_orient_multi","rom_orient_multi_7_TEXT","pref_check_1","pref_check_2","pref_check_3","pref_check_4","race","education","sex_with_males","sex_with_females","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","PIN","sexuality","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","ageLik","m_Lt_AgeLik","f_Lt_AgeLik"
"35","4","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","2","1","6","6","2","1",6,6,6,6,6,6,6,6,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"228",1,6,6,6,6,6,NA,NA,NA,NA,NA,3,NA,0
"39","0","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,7,7,7,8,9,8,8,7,3,"213",1,NA,NA,NA,NA,NA,7.5,7,7.5,8.5,7.5,4,-1,NA
"34","1","0","","0","1","","2","","3","","1","7","","7","","2","","10","","1","2","1","1","6","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,9,10,10,10,10,10,8,9,3,"31",1,NA,NA,NA,NA,NA,8,9.5,10,10,8.5,3,0,NA
"34","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",6,6,6,6,7,7,8,7,7,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"446",1,6,6,7,7.5,6.5,NA,NA,NA,NA,NA,3,NA,0
"38","2","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,7,7,8,5,5,5,6,3,"202",1,NA,NA,NA,NA,NA,6,6.5,7.5,5,5.5,3,0,NA
"41","3","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","7","2","1",8,8,8,8,8,8,9,9,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"184",1,8,8,8,9,6,NA,NA,NA,NA,NA,4,NA,-1
"44","2","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","2","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,"460",1,NA,NA,NA,NA,NA,5,5,5,5,5,4,1,NA
"53","0","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","4","2","1",6,5,6,5,7,6,7,8,6,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"287",1,5.5,5.5,6.5,7.5,6.5,NA,NA,NA,NA,NA,6,NA,-2
"32","0","1","","1","1","","1","","1","","1","4","","","","3","","","","2","1","2","1","6","3","2","1",5,5,5,6,5,6,6,6,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"292",1,5,5.5,5.5,6,6,NA,NA,NA,NA,NA,2,NA,0
"67","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","3","3","2","1",6,5,5,6,5,8,5,7,6,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"188",1,5.5,5.5,6.5,6,5.5,NA,NA,NA,NA,NA,8,NA,0
"41","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",7,7,7,7,7,7,6,6,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"305",1,7,7,7,6,7,NA,NA,NA,NA,NA,4,NA,0
"45","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,10,9,8,10,9,6,10,5,5,"327",1,NA,NA,NA,NA,NA,9,9.5,9,7.5,7.5,5,0,NA
"25","2","0","","0","1","","0","","0","","1","1","","1,4","","1","","9","","1","2","1","1","2","5","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,8,7,6,5,5,9,8,2,"103",1,NA,NA,NA,NA,NA,3.5,6.5,6.5,5,8.5,1,1,NA
"35","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,7,6,9,7,7,9,8,3,"451",1,NA,NA,NA,NA,NA,7.5,7.5,7.5,7,8.5,3,0,NA
"30","4","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","2","1","6","4","2","1",5,5,4,5,5,5,6,6,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"284",1,5,4.5,5,6,4.5,NA,NA,NA,NA,NA,2,NA,0
"38","1","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","3","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,4,"258",1,NA,NA,NA,NA,NA,9,9,9,9,9,3,1,NA
"30","3","0","","0","1","","0","","0","","1","4","","","","3","","","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,7,8,8,6,5,8,7,3,"137",1,NA,NA,NA,NA,NA,5,7,8,5.5,7.5,2,1,NA
"32","4","2","","0","4","I am non-binary","2","","2","","1","1","","1","","1","","9","","1","1","1","1","6","6","1","1",5,5,8,8,6,8,5,5,5,5,3,5,5,8,8,8,8,5,5,5,5,3,"206",0,5,8,7,5,5,5,8,8,5,5,2,1,1
"35","4","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","2","1","6","7","2","1",7,7,6,5,6,7,7,7,7,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33",1,7,5.5,6.5,7,6,NA,NA,NA,NA,NA,3,NA,-1
"23","0","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,1,"369",1,NA,NA,NA,NA,NA,7,7,7,7,7,1,0,NA
"39","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","2","1,6","7","2","1",7,6,6,8,4,9,5,6,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"175",1,6.5,7,6.5,5.5,5.5,NA,NA,NA,NA,NA,4,NA,-1
"25","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,5,5,6,6,2,"56",1,NA,NA,NA,NA,NA,6,6,6,5,6,1,1,NA
"57","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",8,7,7,7,6,9,8,8,8,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"191",1,7.5,7,7.5,8,7.5,NA,NA,NA,NA,NA,7,NA,-2
"37","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","8","2","1",6,6,6,6,6,6,5,5,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120",1,6,6,6,5,5.5,NA,NA,NA,NA,NA,3,NA,0
"39","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","4","2","1",5,5,6,5,7,7,6,7,5,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"344",1,5,5.5,7,6.5,6,NA,NA,NA,NA,NA,4,NA,0
"42","2","0","","0","1","","0","","0","","1","4","","","","3","","","","1","2","1","1","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,8,8,7,8,7,7,9,7,4,"267",1,NA,NA,NA,NA,NA,7,8,7.5,7,8,4,0,NA
"40","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","1","7","2","1",6,6,7,7,6,8,7,7,8,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"440",1,6,7,7,7,7,NA,NA,NA,NA,NA,4,NA,-1
"31","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","1","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,5,6,5,5,5,6,3,"437",1,NA,NA,NA,NA,NA,6,5.5,5.5,5,5.5,2,1,NA
"41","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","1","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,8,7,5,8,6,7,8,5,4,"347",1,NA,NA,NA,NA,NA,8,7.5,6.5,6.5,6.5,4,0,NA
"41","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","5","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,8,8,6,5,8,8,5,"282",1,NA,NA,NA,NA,NA,6.5,6,8,5.5,8,4,1,NA
"32","0","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","4","2","1",8,7,7,7,6,7,6,6,8,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54",1,7.5,7,6.5,6,6.5,NA,NA,NA,NA,NA,2,NA,0
"50","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","2","2","7","2","1",9,9,9,8,9,8,5,8,9,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"320",1,9,8.5,8.5,6.5,8.5,NA,NA,NA,NA,NA,5,NA,-4
"49","4","0","","0","1","","0","","0","","1","4","","","","3","","","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,8,8,7,7,5,5,8,7,6,"215",1,NA,NA,NA,NA,NA,5,8,7,5,7.5,5,1,NA
"44","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","4","2","1",5,3,7,7,5,7,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"341",1,4,7,6,5,5,NA,NA,NA,NA,NA,4,NA,1
"35","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","4","2","1",5,5,7,5,6,6,7,6,7,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"443",1,5,6,6,6.5,5.5,NA,NA,NA,NA,NA,3,NA,0
"42","0","1","","1","1","","2","","0","","1","1","","1,4","","1","","11","","1","1","1","1","6","4","1","1",7,7,8,8,5,8,6,7,5,5,2,7,7,7,8,8,8,8,7,5,5,2,"17",0,7,8,6.5,6.5,5,7,7.5,8,7.5,5,4,-2,-2
"43","0","1","","1","1","","0","","0","","1","4","","4","","7","heterosexual ","7","heterosexual ","2","1","2","1","2","3","2","2",9,9,6,8,9,9,9,9,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"203",1,9,7,9,9,5,NA,NA,NA,NA,NA,4,NA,-2
"42","4","0","","0","1","","0","","0","","1","4","","4","","3","","3","","1","2","1","2","6","4","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,8,7,8,8,8,6,7,7,4,"275",1,NA,NA,NA,NA,NA,7,7.5,8,7,7,4,0,NA
"27","1","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","1","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,6,7,5,8,7,8,2,"336",1,NA,NA,NA,NA,NA,8,8,6.5,6.5,7.5,2,0,NA
"37","0","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","1","2","2","6","7","1","2",6,5,6,6,6,6,5,5,5,5,3,6,5,7,6,7,6,5,5,5,5,4,"288",0,5.5,6,6,5,5,5.5,6.5,6.5,5,5,3,1,0
"44","0","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","1","2","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,9,9,10,7,8,8,7,4,"461",1,NA,NA,NA,NA,NA,8,8.5,9.5,7.5,7.5,4,0,NA
"33","4","1","","1","1","","2","","2","","1","1","","1","","3","","11,12","","2","1","1","1","6","5","1","1",5,5,6,6,5,7,6,6,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82",1,5,6,6,6,6,NA,NA,NA,NA,NA,3,NA,0
"28","0","0","","0","1","","2","","2","","1","1","","7","","1","","3","","1","1","1","1","1","6","1","2",6,6,5,6,6,6,5,5,6,6,2,6,6,5,6,6,6,5,5,6,6,2,"86",0,6,5.5,6,5,6,6,5.5,6,5,6,2,0,0
"53","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,8,8,8,7,8,9,7,6,"430",1,NA,NA,NA,NA,NA,9,8.5,8,7.5,8,6,0,NA
"42","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","7","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,7,10,5,5,5,7,4,"104",1,NA,NA,NA,NA,NA,4.5,5.5,8.5,5,6,4,0,NA
"65","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,7,5,5,5,5,8,"43",1,NA,NA,NA,NA,NA,5,5.5,6.5,5,5,8,0,NA
"38","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",5,6,6,6,7,6,7,6,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",1,5.5,6,6.5,6.5,6,NA,NA,NA,NA,NA,3,NA,0
"21","2","0","","0","1","","2","","2","","1","1","","1","","1","","9","","1","1","1","1","6","4","2","1",5,5,7,8,7,9,7,6,9,5,1,6,5,5,7,5,8,9,8,8,6,1,"199",0,5,7.5,8,6.5,7,5.5,6,6.5,8.5,7,1,0,0
"24","2","1","","1","1","","2","","2","","1","9","Questioning","","","6","","","","2","1","1","1","2,6","4","2","1",8,6,8,7,8,6,8,7,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142",1,7,7.5,7,7.5,5.5,NA,NA,NA,NA,NA,1,NA,0
"27","0","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","3","2","1",5,5,6,6,2,7,5,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"386",1,5,6,4.5,5,1.5,NA,NA,NA,NA,NA,2,NA,0
"27","4","1","","1","1","","2","","2","","1","1","","1","","1","","9","","2","1","1","1","6","6","1","1",7,7,7,5,6,8,10,10,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"147",1,7,6,7,10,7.5,NA,NA,NA,NA,NA,2,NA,0
"45","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,5,8,8,4,5,7,5,3,"159",1,NA,NA,NA,NA,NA,6,5,8,4.5,6,5,-2,NA
"38","0","0","","0","1","","3","","3","","1","2","","","","2","","","","2","1","2","2","6","6","2","2",5,6,5,6,6,7,5,5,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"187",1,5.5,5.5,6.5,5,6,NA,NA,NA,NA,NA,3,NA,1
"37","2","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","1","6","7","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,7,6,8,5,5,5,5,4,"62",1,NA,NA,NA,NA,NA,6,6.5,7,5,5,3,1,NA
"67","0","1","","1","1","","2","","1","","1","1","","3,7","","4","","9","","1","1","1","1","6","4","1","1",7,5,7,5,9,8,8,8,7,5,5,7,8,6,5,6,8,8,9,8,5,7,"91",0,6,6,8.5,8,6,7.5,5.5,7,8.5,6.5,8,-1,-3
"33","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","4","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,4,"350",1,NA,NA,NA,NA,NA,5,5,5,5,5,3,1,NA
"61","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",7,6,6,6,6,6,6,7,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60",1,6.5,6,6,6.5,5,NA,NA,NA,NA,NA,7,NA,0
"60","0","0","","0","1","","0","","0","","1","4","","","","3","","","","1","2","2","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,7,6,7,7,7,7,7,5,7,"125",1,NA,NA,NA,NA,NA,8,6.5,7,7,6,7,0,NA
"28","2","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","1","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,5,8,7,9,5,5,7,8,2,"419",1,NA,NA,NA,NA,NA,6.5,6.5,8,5,7.5,2,0,NA
"46","0","1","","1","1","","0","","0","","1","4","","0","","3","","","","2","1","2","1","3","6","2","1",10,10,6,7,7,8,9,8,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"205",1,10,6.5,7.5,8.5,6,NA,NA,NA,NA,NA,5,NA,-4
"26","2","0","","0","1","","2","","0","","1","1","","1","","3","","11","","1","1","1","1","2","3","1","1",9,6,9,9,7,10,7,8,7,7,2,7,5,5,5,5,10,6,5,5,6,2,"53",0,7.5,9,8.5,7.5,7,6,5,7.5,5.5,5.5,1,1,1
"43","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",5,7,8,8,6,6,9,8,8,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"318",1,6,8,6,8.5,6.5,NA,NA,NA,NA,NA,4,NA,-1
"33","4","0","","0","1","","2","","2","","1","1","","1","","1","","9","","1","1","2","2","6","3","1","1",7,7,7,7,7,7,6,5,8,7,4,7,7,7,7,7,7,6,6,8,7,5,"314",0,7,7,7,5.5,7.5,7,7,7,6,7.5,3,2,1
"35","4","0","","0","1","","2","","2","","1","1","","2","","1","","","","1","1","2","2","6","5","1","2",9,7,9,10,6,9,8,6,8,5,3,6,7,10,10,8,6,7,5,5,5,3,"115",0,8,9.5,7.5,7,6.5,6.5,10,7,6,5,3,0,0
"32","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","7","2","1",6,6,7,5,7,8,5,6,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108",1,6,6,7.5,5.5,6,NA,NA,NA,NA,NA,2,NA,1
"37","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","7","2","1",7,8,6,7,8,6,7,7,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"458",1,7.5,6.5,7,7,5,NA,NA,NA,NA,NA,3,NA,-1
"53","0","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","4","2","1",7,8,7,7,7,8,6,7,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"156",1,7.5,7,7.5,6.5,5,NA,NA,NA,NA,NA,6,NA,-1
"51","4","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","1","1","6","6","1","1",7,6,6,6,6,7,6,6,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"297",1,6.5,6,6.5,6,6,NA,NA,NA,NA,NA,6,NA,-2
"35","2","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","3,4,6","3","2","1",5,5,8,8,6,7,6,6,7,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89",1,5,8,6.5,6,6.5,NA,NA,NA,NA,NA,3,NA,0
"22","0","0","","0","1","","2","","2","","1","1","","3,8","","1","","9","","2","1","2","1","6","4","2","1",5,5,5,5,8,8,5,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190",1,5,5,8,5,5,NA,NA,NA,NA,NA,1,NA,0
"55","4","0","","0","1","","2","","0","","1","1","","1","","3","","11","","1","1","1","1","6","6","1","1",7,7,7,7,8,8,7,7,8,7,7,6,6,6,7,7,2,7,6,7,7,6,"330",0,7,7,8,7,7.5,6,6.5,4.5,6.5,7,6,0,1
"47","0","0","","0","1","","2","","0","","1","1","","4,7","","3","","11","","1","2","1","1","6","4","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,7,7,7,6,6,7,5,3,"39",1,NA,NA,NA,NA,NA,5.5,7,7,6,6,5,-2,NA
"31","0","0","","0","1","","2","","2","","1","1","","1,8","","5","","13","","4","4","1","1","2","5","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"34","2","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","2","1","6","6","2","1",6,6,6,6,6,7,5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180",1,6,6,6.5,5,5,NA,NA,NA,NA,NA,3,NA,-1
"26","0","1","","1","1","","2","","2","","1","1","","","","1","","","","1","1","1","1","6","3","1","1",6,7,5,6,5,5,6,6,5,4,2,6,6,5,5,5,5,7,7,5,5,1,"311",0,6.5,5.5,5,6,4.5,6,5,5,7,5,1,0,1
"28","2","0","","0","1","","2","","2","","1","1","","8","","7","Queer","","","1","1","1","1","2,3","6","1","1",5,5,7,7,5,6,6,7,5,5,2,5,5,7,7,5,6,6,6,5,5,2,"303",0,5,7,5.5,6.5,5,5,7,5.5,6,5,2,0,0
